crime_type,complexity,num_defendants,num_documents,text_length,case_text,processing_days


homicide,high,6,34,1147,negligent homicide involving an unsecured firearm,226
fraud,high,2,67,2317,embezzlement of funds by a corporate accountant,192
burglary,medium,3,25,901,theft of a bicycle from a locked residential porch,111
burglary,high,5,69,2229,organized theft of luxury vehicles from a private lot,275
money_laundering,high,4,62,1915,purchasing high-value assets with undeclared cash,179
money_laundering,high,4,66,1291,laundering of illegal gambling profits through casinos,240
assault,low,2,5,257,bar fight involving several patrons and property damage,31
cybercrime,low,2,10,311,large-scale data breach of a retail customer database,55
corruption,medium,1,16,918,unauthorized use of official vehicle for personal gain,89
corruption,medium,3,10,706,systemic corruption in the allocation of mining licenses,101
burglary,high,5,47,2011,residential break-in with stolen electronic equipment,178
corruption,high,4,67,1434,bribery of judicial officials to influence court cases,335
theft,low,2,2,333,large-scale cargo theft from a shipping terminal,52
money_laundering,medium,3,14,567,purchasing high-value assets with undeclared cash,71
corruption,medium,3,12,796,bribery involving public officials and state contracts,113
fraud,medium,3,24,948,forgery of real estate documents in a property sale,93
cybercrime,high,2,56,1260,unauthorized use of corporate data for industrial espionage,161
homicide,medium,1,12,727,first-degree murder investigation with forensic evidence,136
homicide,low,1,9,392,double homicide case with multiple crime scenes,30
corruption,high,4,47,2026,political corruption involving campaign finance violations,330
homicide,high,2,30,1956,negligent homicide involving an unsecured firearm,222
corruption,medium,1,21,993,bribery of judicial officials to influence court cases,137
assault,medium,1,25,502,coordinated attack on a group during a protest,119
burglary,low,1,7,329,organized theft of luxury vehicles from a private lot,16
drug_trafficking,low,1,10,210,bulk transport of heroin across international borders,55
homicide,medium,3,13,846,premeditated conspiracy to commit murder for financial gain,148
homicide,medium,1,19,659,manslaughter case from a reckless driving incident,81
fraud,high,2,40,1114,multinational ponzi scheme targeting elderly investors,247
drug_trafficking,medium,1,24,678,international narcotics smuggling via maritime routes,102
homicide,low,1,9,401,double homicide case with multiple crime scenes,32
burglary,low,2,2,448,organized theft of luxury vehicles from a private lot,57
theft,high,2,55,1607,minor shoplifting incident caught on surveillance camera,229
corruption,medium,2,15,618,systemic corruption in the allocation of mining licenses,109
cybercrime,low,2,3,401,ransomware attack on a small business accounting system,30
cybercrime,high,3,66,1323,distributed denial of service (DDoS) attack on a bank,250
homicide,low,2,3,406,serial killer investigation spanning multiple states,31
cybercrime,medium,1,23,604,large-scale data breach of a retail customer database,70
theft,medium,3,13,565,organized retail crime targeting high-end clothing,139
corruption,low,1,10,337,small bribe offered to a traffic enforcement officer,30
theft,low,2,5,373,simple shoplifting incident at a local grocery store,18
theft,high,5,35,1663,theft of high-value tools from a construction site,347
theft,medium,2,11,966,theft of copper wiring from a utility substation,63
burglary,high,3,68,2294,commercial burglary of an electronics warehouse,324
drug_trafficking,high,2,34,2080,possession of illegal substances with intent to distribute,389
drug_trafficking,low,2,2,414,possession of illegal substances with intent to distribute,37
burglary,low,1,8,460,commercial burglary of an electronics warehouse,30
corruption,high,4,66,1630,systemic corruption in the allocation of mining licenses,201
cybercrime,low,2,4,479,distributed denial of service (DDoS) attack on a bank,59
fraud,medium,3,25,930,telemarketing scam targeting vulnerable individuals,142
