crime_type,complexity,num_defendants,num_documents,text_length,case_text,processing_days
fraud,high,3,35,1450,"organized insurance fraud involving multiple shell companies",210
theft,low,1,5,320,"simple shoplifting incident at a local grocery store",30
assault,medium,2,14,750,"street fight involving two individuals with minor injuries",85
cybercrime,high,4,58,1850,"complex phishing network targeting international bank accounts",280
homicide,high,2,45,2100,"first-degree murder investigation with forensic evidence and witnesses",340
drug_trafficking,medium,3,18,820,"distribution of controlled substances in local urban areas",120
corruption,high,5,65,2250,"bribery involving public officials and large-scale state contracts",390
money_laundering,high,4,60,1950,"transfer of illegal funds through offshore real estate investments",310
burglary,medium,2,12,680,"residential break-in with stolen electronic equipment",95
cybercrime,low,1,6,380,"unauthorized access to a private social media account",45
drug_trafficking,high,6,68,2400,"international narcotics smuggling operation via maritime routes",385
homicide,medium,1,22,950,"manslaughter case resulting from a reckless driving incident",145
corruption,medium,2,19,880,"nepotism and small-scale embezzlement in a local municipality",130
fraud,low,1,4,290,"identity theft involving a single credit card application",40
assault,high,4,32,1600,"gang-related violent assault with multiple victims",260
money_laundering,medium,2,24,920,"structuring cash deposits to evade financial reporting",140
burglary,low,1,3,250,"attempted theft from a detached garage",35
cybercrime,medium,2,20,850,"ransomware attack on a small business accounting system",115
drug_trafficking,low,1,7,420,"possession of illegal substances with intent to distribute",55
homicide,high,3,55,2300,"premeditated conspiracy to commit murder for financial gain",370
corruption,low,1,5,350,"small bribe offered to a traffic enforcement officer",28
fraud,medium,2,16,810,"forgery of real estate documents in a property sale",110
assault,low,1,6,310,"verbal dispute leading to a physical push between neighbors",35
money_laundering,low,1,8,480,"using a small business to wash minor criminal proceeds",58
burglary,high,3,40,1750,"coordinated heist of a high-end jewelry store",285
cybercrime,high,5,62,2100,"large-scale data breach of a retail customer database",330
drug_trafficking,high,4,55,1900,"interstate distribution network of synthetic narcotics",295
homicide,high,1,42,1850,"cold case murder investigation reopened with new DNA evidence",315
corruption,high,4,58,2100,"systemic corruption in the allocation of mining licenses",355
fraud,high,5,52,2000,"multinational ponzi scheme targeting elderly investors",345
theft,medium,1,15,720,"theft of high-value tools from a construction site",105
assault,medium,2,18,890,"domestic violence incident with repeated offenses reported",135
money_laundering,high,6,70,2450,"complex network of front companies for cartel money",395
burglary,medium,2,22,940,"organized theft of luxury vehicles from a private lot",145
cybercrime,low,1,4,330,"defacement of a local government website",42
drug_trafficking,medium,2,16,780,"smuggling of prescription drugs across state borders",118
homicide,low,1,10,550,"accidental death involving negligence in a workplace",75
corruption,medium,3,25,1100,"kickbacks in public procurement of medical supplies",160
fraud,low,1,6,410,"online auction fraud involving non-existent goods",52
assault,high,3,38,1550,"aggravated assault using a prohibited weapon",275
money_laundering,medium,3,28,1050,"laundering of illegal gambling profits through casinos",155
burglary,low,1,5,390,"theft of a bicycle from a locked residential porch",48
cybercrime,medium,3,24,980,"unauthorized use of corporate data for industrial espionage",148
drug_trafficking,high,5,50,1800,"cultivation and distribution of cannabis on a large scale",265
homicide,high,2,48,2200,"double homicide case with multiple crime scenes",380
corruption,high,6,72,2480,"political corruption involving campaign finance violations",398
fraud,medium,2,22,960,"embezzlement of funds by a corporate accountant",142
theft,low,1,4,270,"theft of a package from a residential doorstep",22
assault,low,1,3,280,"minor scuffle at a public sporting event",30
money_laundering,low,1,9,440,"purchasing high-value assets with undeclared cash",55
burglary,high,4,45,1950,"professional safe-cracking at a commercial bank branch",320
cybercrime,high,4,55,1780,"distributed denial of service (DDoS) attack on a bank",290
drug_trafficking,low,1,5,340,"small scale sale of narcotics near a school zone",59
homicide,medium,1,18,880,"death resulting from a violent robbery attempt",130
corruption,low,1,6,320,"unauthorized use of official vehicle for personal gain",40
fraud,high,4,48,1850,"credit card skimming ring operating in multiple cities",305
theft,medium,2,14,690,"theft of copper wiring from a utility substation",112
assault,medium,2,15,770,"bar fight involving several patrons and property damage",125
money_laundering,medium,2,20,890,"inflating business invoices to conceal illegal income",135
burglary,medium,1,18,820,"break-in at a pharmacy to steal controlled medications",140
cybercrime,medium,1,15,740,"spear-phishing attack on a high-level executive",110
drug_trafficking,high,3,45,1650,"operation of a clandestine synthetic drug laboratory",270
homicide,high,2,50,2150,"contract killing involving a hired professional",385
corruption,high,4,54,2050,"rigging of bids for large-scale infrastructure projects",360
fraud,medium,1,18,870,"welfare fraud involving multiple false identities",128
theft,low,1,3,240,"theft of a mobile phone from a public cafe",24
assault,high,5,42,1720,"coordinated attack on a group during a protest",295
money_laundering,high,5,64,2300,"layering of funds through a series of shell companies",375
burglary,low,1,4,310,"theft of garden equipment from a backyard shed",38
cybercrime,low,1,5,360,"credit card fraud using stolen online credentials",46
drug_trafficking,medium,2,19,840,"trafficking of illegal substances via postal services",132
homicide,low,1,12,620,"negligent homicide involving an unsecured firearm",88
corruption,medium,2,22,980,"misuse of public funds for personal travel and luxury",152
fraud,low,1,7,450,"telemarketing scam targeting vulnerable individuals",56
theft,high,3,38,1620,"large-scale cargo theft from a shipping terminal",278
assault,medium,1,12,680,"assault on a public official during an inspection",105
money_laundering,medium,3,26,1080,"using cryptocurrency mixers to hide criminal origins",162
burglary,high,2,35,1580,"theft of rare artwork from a private gallery",265
cybercrime,high,6,70,2400,"state-sponsored hacking of critical infrastructure",395
drug_trafficking,high,4,48,1750,"bulk transport of heroin across international borders",285
homicide,high,3,60,2450,"serial killer investigation spanning multiple states",400
corruption,high,5,62,2280,"bribery of judicial officials to influence court cases",375
fraud,high,4,50,1920,"real estate investment fraud with fake development projects",335
theft,medium,2,20,950,"organized retail crime targeting high-end clothing",145
assault,low,1,4,350,"minor injury during a road rage confrontation",42
money_laundering,low,1,7,410,"smurfing small amounts of cash into bank accounts",52
burglary,medium,2,16,790,"commercial burglary of an electronics warehouse",125
cybercrime,medium,2,22,910,"identity theft through a fake website portal",138
drug_trafficking,low,1,6,370,"street-level dealing of prescription painkillers",54
homicide,medium,1,25,1100,"death caused by excessive force during an altercation",155
corruption,low,1,4,290,"accepting a small gift in exchange for a permit",32
fraud,medium,2,24,1020,"check kiting scheme between multiple bank accounts",158
theft,low,1,5,340,"theft of loose change and items from an unlocked car",35
assault,high,4,45,1850,"severe beating involving permanent physical disability",310
money_laundering,high,4,58,2150,"cleansing drug money through a chain of car washes",345
burglary,low,1,3,270,"forced entry into a residential basement storage",36
cybercrime,high,3,48,1700,"theft of intellectual property from a tech company",260
drug_trafficking,medium,3,28,1150,"distribution of illicit drugs at a music festival",165
homicide,high,2,55,2350,"poisoning case involving a complex toxicological study",390
corruption,high,4,56,2080,"embezzlement of disaster relief funds by officials",365
fraud,low,1,8,490,"fraudulent return of merchandise at a retail chain",58
theft,medium,1,18,860,"theft of laptop computers from a university library",132
assault,medium,2,14,730,"assault on a security guard during a trespassing event",115
money_laundering,medium,2,21,940,"back-to-back loan schemes to hide illegal capital",148
burglary,high,5,52,2100,"theft of sensitive documents from a law firm office",335
cybercrime,low,1,6,420,"spam campaign used to spread minor malware",54
drug_trafficking,high,6,70,2450,"operation of a multi-state drug distribution cartel",398
homicide,medium,2,20,980,"death resulting from a violent domestic dispute",142
corruption,medium,3,26,1120,"extortion of small business owners by local inspectors",168
fraud,high,3,42,1680,"fraudulent claims for government subsidies and grants",275
