crime_type,complexity,num_defendants,num_documents,text_length,case_text,processing_days
fraud,high,3.0,25.0,1200.0,financial fraud involving multiple fake documents and bank accounts,180.0
fraud,high,3.0,25.0,47.0,financial deception involving falsified records,185.0
theft,low,1.0,5.0,300.0,simple theft case with one suspect,30.0
theft,low,1.0,5.0,31.0,unauthorized taking of property,27.0
assault,medium,2.0,12.0,600.0,physical assault with two defendants and witness reports,75.0
assault,medium,2.0,12.0,46.0,physical attack involving multiple individuals,78.0
fraud,medium,2.0,18.0,850.0,fraud case with forged contracts and financial investigation,110.0
fraud,medium,2.0,18.0,47.0,financial deception involving falsified records,101.0
theft,low,1.0,4.0,280.0,minor theft with clear evidence,25.0
theft,low,1.0,4.0,31.0,unauthorized taking of property,15.0
assault,high,4.0,30.0,1500.0,severe assault case with multiple victims and medical reports,240.0
assault,high,4.0,30.0,38.0,violent assault with reported injuries,234.0
fraud,low,1.0,6.0,400.0,small scale fraud with limited financial loss,45.0
fraud,low,1.0,6.0,41.0,economic fraud with manipulated documents,50.0
theft,medium,1.0,17.0,811.0,organized retail theft incident,96.0
theft,medium,1.0,17.0,38.0,illegal stealing with minimal evidence,87.0
theft,low,1.0,8.0,346.0,minor theft with clear evidence,48.0
theft,low,1.0,8.0,31.0,unauthorized taking of property,56.0
theft,low,1.0,6.0,362.0,bicycle theft from residential area,24.0
theft,low,1.0,6.0,31.0,unauthorized taking of property,19.0
theft,medium,2.0,17.0,551.0,theft of high-value electronics,111.0
theft,medium,2.0,17.0,38.0,illegal stealing with minimal evidence,110.0
fraud,low,1.0,8.0,295.0,small scale fraud with limited financial loss,23.0
fraud,low,1.0,8.0,47.0,financial deception involving falsified records,27.0
theft,low,1.0,8.0,351.0,simple theft case with one suspect,59.0
theft,low,1.0,8.0,38.0,illegal stealing with minimal evidence,64.0
fraud,high,4.0,38.0,1681.0,international financial fraud network,224.0
fraud,high,4.0,38.0,41.0,economic fraud with manipulated documents,215.0
theft,high,2.0,55.0,1674.0,coordinated warehouse robbery,225.0
theft,high,2.0,55.0,31.0,unauthorized taking of property,233.0
theft,medium,2.0,14.0,760.0,theft case involving multiple stolen items,132.0
theft,medium,2.0,14.0,38.0,illegal stealing with minimal evidence,136.0
fraud,high,2.0,53.0,1861.0,complex money laundering operation,271.0
fraud,high,2.0,53.0,41.0,economic fraud with manipulated documents,269.0
assault,high,3.0,28.0,1726.0,aggravated assault with a deadly weapon,270.0
